n_seated,n_standing,speed_kmh,radius_m,is_wet,gradient_deg,dist_to_curve_m,risk_score,stopping_dist
38.0,27.0,32.033879575284196,48.59924806609394,0.0,0.09750411613767218,120.96005401969947,0.03162537009227696,22.20944202879874
51.0,11.0,32.92155697127651,184.72464969007297,1.0,-1.3201509306229209,80.09320955968866,0.011807871011662838,29.497513033486022
28.0,37.0,37.512030622183985,183.8370613363563,0.0,0.346667548928824,119.08909128524309,0.011944189234223716,27.191301675406464
14.0,35.0,30.365439096865238,197.9449912295582,1.0,-0.7746664511502321,41.38198195755157,0.016369311819934524,25.959711399016918
42.0,4.0,42.761935892251195,176.07074699640597,1.0,-2.1577414936245756,76.20409733307312,0.021114181757894562,44.40638203746336
7.0,12.0,74.65005361938523,199.5790336858123,1.0,4.0410790545763575,84.6035690403273,0.0528785501664176,89.4250742113057
20.0,22.0,56.920870437714456,56.490375743421794,0.0,-3.152350115786431,141.4662101580198,0.07354033491374581,49.878313976333814
38.0,29.0,44.71679291673582,170.0274211878545,1.0,1.8136557558055966,39.98963652456259,0.041631021279448135,42.962567082150855
18.0,36.0,76.06464767427289,166.37537867119525,1.0,4.246447125824141,140.5032358927342,0.04688177747601529,91.66622207882088
22.0,24.0,22.907853948549338,53.87866825193941,1.0,0.38669959685433075,120.72883731985738,0.014433384838129754,17.238904775935175
10.0,26.0,32.616570674111685,28.703134310188247,0.0,3.7640848857948206,109.63410811300429,0.05987485406964251,22.153315413879852
10.0,13.0,53.95331630610554,196.08989759874393,0.0,-3.7514852156671563,118.03054037776877,0.021432149309884387,46.56507820782423
23.0,35.0,56.93315739159075,66.24466478891597,1.0,-0.06211229743591895,90.81375688200855,0.09528481097359297,65.0012941909024
52.0,38.0,22.373450393756787,175.46944018888314,0.0,-0.4297471951906062,36.61200156937288,0.010967728446491128,14.250728503237724
35.0,15.0,44.18232547442793,10.78415938817474,1.0,-4.918811929630051,28.42424532597791,0.7588704847504226,51.17753515030425
39.0,21.0,58.94923788985236,13.99471337172442,0.0,-0.5674265864066552,129.95121537755858,0.34333643886105497,50.82507354320278
23.0,20.0,61.884232784204094,98.51554865230999,1.0,-1.3097024361740217,108.77091038937498,0.06211887825298839,76.98111009244302
2.0,20.0,58.28839415097616,55.355789947662075,0.0,1.6979872777461535,31.98064241414236,0.24126206005359127,48.80397442946482
21.0,7.0,39.23379346165547,141.0698438528332,1.0,4.383297785765185,92.26400488116023,0.019003285377234315,33.80558423411346
52.0,15.0,25.61120741587457,117.45722185791132,0.0,-4.142089117379635,67.13197221213358,0.013084590336489144,17.271857811084637
1.0,30.0,45.626746785160044,24.722301515593376,0.0,-1.725236132853769,23.79827549446409,0.4075833681906147,36.02108228336452
23.0,9.0,27.72526624208333,40.899376299986244,1.0,-0.559352626057481,79.77856640357466,0.03718140826644913,22.747802695744852
43.0,31.0,76.85741951124002,83.72936131109871,1.0,-0.44814621965616697,42.22786386996259,0.2422360628722986,106.32018391774545
29.0,33.0,48.510251961357696,45.2647721515323,0.0,2.7480972084225375,14.436618623635733,0.3240255646238013,37.51402720492311
37.0,8.0,39.03555046141206,160.52224597634643,1.0,-0.5660433416655919,70.04374478181163,0.020881978230264425,37.136885885703634
1.0,16.0,65.978244267134,89.0533447551232,1.0,-4.728386985463466,88.51628281403427,0.0904972922510501,97.03938807675564
20.0,10.0,49.876915554935835,27.75205470007486,1.0,2.101040945928313,7.035961557172577,0.6560677941766695,50.239367135234176
32.0,31.0,38.602041440747,102.02515143170372,1.0,3.8482969514567165,60.313912411649525,0.03881709268906038,33.34541076527042
11.0,9.0,68.71806454344811,27.25925440166869,0.0,0.13904712549672849,38.649287975502794,0.5788547627755392,62.8236933918721
